name,id,qid,display_name,full_names,duplicate_of
Kees Aarnink,A1411,,Kees Aarnink,,
B van Aartsen; Bob van Aartsen,A1,Q55007485,Bob van Aartsen,Leendert Izaak Pieter van Aartsen,
Johan Abenius,A2,,Johan Abenius,,
Henri-Pierre Aberlenc,A3,Q103160499,Henri-Pierre Aberlenc,,
C van Achterberg; Cees van Achterberg; Kees van Achterberg,A4,Q21340406,Cees van Achterberg,Cornelis van Achterberg; Kees van Achterberg,
D M Ackland,A5,Q106464337,David Michael Ackland,,
David J L Agassiz,A6,Q21388020,David John Lawrence Agassiz,,
Gian Luca Agnoli,A7,Q104876392,Gian Luca Agnoli,,
Donat Agosti,A8,Q20650434,Donat Agosti,,
Florencio Aguirrezabalaga,A9,,Florencio Aguirrezabalaga,,
E J Al,A10,,E J Al,,
Xavier Vázquez-Albalate,A11,,Xavier Vázquez-Albalate,,
Vincent Albouy,A12,,Vincent Albouy,,
José Luis Nieves Aldrey,A13,Q21390008,José Luis Nieves Aldrey,,
Geoffrey W Allen,A14,,Geoffrey W Allen,,
José Maria Dusmet y Alonso,A15,Q55008258,José Maria Dusmet y Alonso,,
Miguel Alonso,A16,Q21076183,Miguel Alonso,,
Han Alta,A17,Q107371655,Johannes Alta,Han Alta,
Florian Altermatt,A18,Q21337616,Florian Altermatt,,
Roman Alther,A19,Q54670051,Roman Alther,,
Tom Alvestad,A20,Q21393971,Tom Alvestad,,
Carme Alós,A21,,Carme Alós,,
Felix Amiet,A22,Q107664361,Felix Amiet,Félix Amiet,
Dalton De Souza Amorim,A23,Q21339931,Dalton De Souza Amorim,,
C Amédégnato,A24,Q21340473,Christiane Amédégnato,Christiane Amédégnato-Loisele,
Arne Andersen,A25,,Arne Andersen,,
Trond Andersen,A26,Q22112892,Trond Andersen,,
Roy Anderson,A27,Q28815160,Roy Anderson,,
Göran Andersson,A28,Q77033535,Göran Andersson,,
Ana Cristina Andreu,A29,Q63198319,Ana Cristina Andreu,,
Marc André,A30,Q45012034,Marc André,,
Fernand Angel,A31,Q3069031,Fernand Angel,,
Alexander V Antropov; Alexander Valentinovich Antropov,A32,Q22106983,Alexander Valentinovich Antropov,,
Sandra Antunes,A33,Q21388370,Sandra Antunes,,
Luisa M Díaz-Aranda,A34,Q86545839,Luisa M Díaz-Aranda,,
Javier Arbea,A35,Q21338461,Javier Arbea,Javier Ignacio Arbea-Polite,
M E Archer,A36,Q22105976,Michael Edward Archer,,
Werner Arens,A37,Q111460846,Werner Arens,,
Antonio Arillo,A38,Q21391935,Antonio Arillo,,
Jo Vegar Arnekleiv,A39,Q107372342,Jo Vegar Arnekleiv,,
Sandrine Cros-Arteil,A40,Q113031765,Sandrine Cros-Arteil,,
Jorge N Artigas,A41,,Jorge Narciso Artigas,Jorge Narciso José Artigas,
Peter D Ashlock,A42,Q21388313,Peter Dunning Ashlock,,
R R Askew,A43,Q22109519,Richard Robinson Askew,,
Horst Aspöck,A44,Q21339015,Horst Aspöck,,
Ulrike Aspöck,A45,Q21339012,Ulrike Aspöck,,
Thorsten Assmann,A46,Q2429050,Thorsten Assmann,,
Yulia Vyacheslavovna Astafurova,A47,Q22112696,Yulia Vyacheslavovna Astafurova,,
Jacques-F Aubert; Jacques Aubert,A48,Q3158155,Jacques-François Aubert,Jacques Aubert,
Razzaq Shalan Augul,A49,,Razzaq Shalan Augul,,
Berend Aukema,A50,Q26250609,Berend Aukema,,
Romana Capaccioni-Azzati,A51,Q41905832,Romana Capaccioni-Azzati,,
Jelena Ačanski,A52,Q21392187,Jelena Ačanski,,
BLWG,A53,Q2268329,BLWG,Bryologische en Lichenologische Werkgroep,
Davide Badano,A54,Q27922246,Davide Badano,,
André Badonnel,A55,Q4759817,André Badonnel,,
Jean Georges Baer,A56,Q6170741,Jean Georges Baer,,
Hannco P A J Bakker,A57,Q47301895,Hannco Bakker,Piet A J Bakker,
Wim Bakker,A58,Q104107621,Wim Bakker,Wim H Bakker,
Alfred Balachowsky,A59,Q2340504,Alfred Balachowsky,Alfred Serge Balachowsky,
Stuart G Ball,A60,Q107616475,Stuart Gordon Ball,,
Józef Banaszak,A61,Q11729896,Józef Banaszak,,
Natalie Banks,A62,Q117753849,Natalie Banks,,
Jacques Baraud,A63,Q47494869,Jacques Baraud,,
Yvan Barbier,A64,Q107665169,Yvan Barbier,,
Maxwell V L Barclay,A65,Q6794555,Maxwell V L Barclay,,
Aat Barendregt,A66,Q58151171,Aat Barendregt,,
Peter Barnard,A67,Q112549664,Peter Barnard,,
Ruth Barnich,A68,Q16438861,Ruth Barnich,,
Enrique García-Barros,A69,Q21392422,Enrique García-Barros,,
G Mandahl-Barth,A70,Q101552344,Georg Mandahl-Barth,Georg Daniel Mandahl-Barth,
Hans Bartsch,A71,,Hans Bartsch,,
Roberto Battiston,A72,Q59223797,Roberto Battiston,,
Vincent Baudraz,A1400,,,,
Michel Baudraz,A1401,,,,
Ernst Bauernfeind,A73,Q27440720,Ernst Bauernfeind,,
Jean-Yves Baugnée,A74,Q107631264,Jean-Yves Baugnée,,
Władysław Bazyluk,A75,Q21339225,Władysław Bazyluk,,
Regina Bańkowska,A76,Q60837892,Regina Bańkowska,Regina Bańkowska-Pisarska,
Antonio Bea,A77,,Antonio Bea,,
Jean-Claude Beaucournu,A78,Q27056162,Jean-Claude Beaucournu,,
Jacques De Beaumont,A79,Q3160240,Jacques De Beaumont,,
Stella D Beavan,A80,,Stella D Beavan,,
Dick Bekker,A81,,Dick Bekker,,
Heiko Bellman,A82,Q1594642,Heiko Bellman,,
Xavier Bellés,A83,Q21339357,Xavier Bellés,Xavier Bellés i Ros,
Claude Belpaire,A84,Q60660044,Claude Belpaire,,
Robert Belshaw,A85,Q21341994,Robert Belshaw,,
Klaas-Douwe Benediktus,A86,Q21076301,Klaas-Douwe Benediktus Dijkstra,,
Bengt Å Bengtsson,A87,Q21077783,Bengt Å Bengtsson,,
Pater Benno,A88,Q107564591,Pater Benno,Johannes Adrianus Vergeest,
Ulrich Bense,A89,Q106989274,Ulrich Bense,,
Robert Bernard Benson,A90,Q55016032,Robert Bernard Benson,,
P B Berents,A91,Q107882594,‪Penelope B Berents,Penny Berents; Penelope Berents,
Alexander Berg,A92,Q22106740,Alexander Berg,,
Aart van den Berg,A93,,Aart van den Berg,,
Matty P Berg; M Berg; Matty Berg,A94,Q55948263,Matty Berg,Matheus Petrus Berg,
Matz Berggren,A95,Q22103614,Matz Berggren,,
Johannes Bergsten,A96,Q21858544,Johannes Bergsten,,
Bibiche Berkholst,A97,,Bibiche Berkholst,,
Lucien Berland,A98,Q1873379,Lucien Berland,,
Francis Bernard,A99,,Francis Bernard,,
R Bernasconi,A100,Q89801982,Reno Bernasconi,,
Michel Bertrand,A101,,Michel Bertrand,,
Celia Besteiro,A102,Q53349665,Celia Besteiro,,
Emma Betts,A103,,Emma Betts,,
