id,title,author,url,fulltext_url,archive_url,entry_type,date,publisher,series,ISSN,ISBN,DOI,QID,volume,issue,pages,edition,language,license,key_type,taxon,scope,region,complete,target_taxa,part_of,,,,,,,,,,,
B1,"Identification Key to the European Species of the Bee Genus Nomada Scopoli, 1770 (Hymenoptera: Apidae), Including 23 New Species",Jan Smit,http://www.insecta-web.org/MWM/html_stat/entomofauna/2018.htm,https://www.zobodat.at/pdf/ENT_M3_0001-0253.pdf,,print,2018-01-22,Museum Witt,Entomofauna Monographs,0250-4413,,,,3,,,,de-DE,,key,Nomada,,Europe,TRUE,species,,,,,,,,,,,,
B2,"An illustrated key to the cuckoo wasps (Hymenoptera, Chrysididae) of the Nordic and Baltic countries, with description of a new species",Juho Paukkunen; Alexander Berg; Villu Soon; Frode Ødegaard; Paolo Rosa,https://doi.org/10.3897/zookeys.548.6164,https://doi.org/10.3897/zookeys.548.6164,,online,2015,Pensoft Publishers,ZooKeys,1313-2970,,10.3897/zookeys.548.6164,Q22674992,548,,,,en,CC-BY-4.0,key,Chrysididae,,"Europe, Northern; Europe, Baltic",TRUE,species,,,,,,,,,,,,
B3,Informatie op het net over bijen en wespen,,https://www.aculea.be/determinatie.html,https://www.aculea.be/determinatie.html,,online,,,,,,,,,,,,nl-BE,,collection,Hymenoptera,,"Europe, Belgium",FALSE,,,,,,,,,,,,,
B4,"Beitrag zur Klärung des Artstatus von Nomada goodeniana (Kirby, 1802) und Nomada succincta Panzer, 1798 (Hymenoptera, Apidae)",Olaf Diestelhorts; Klaus Lunau,https://www.zobodat.at/publikation_articles.php?id=444938,https://www.zobodat.at/pdf/Entomologie-heute_20_0165-0171.pdf,,online,2008,,Entomologie heute,1613-0448,,,,20,,,,de-DE,,key,Nomada goodeniana; Nomada succincta,,-,TRUE,species,,,,,,,,,,,,
B5,Schmetterlinge der Alpen,Gianluca Ferreti,https://www.haupt.ch/buecher/natur-garten/schmetterlinge-der-alpen.html?cur=1&listtype=search&searchparam=Schmetterlinge%20der%20Alpen,,,print,2015,Haupt,,,9783258078502,,,,,352,,de-DE,,key,Hesperiidae; Papilionidae; Pieridae; Riodinidae; Lycaenidae; Nymphalidae,,"Europe, Alps",TRUE,species,,,,,,,,,,,,
B6,Review and identification of the cuckoo bees of central Europe (Hymenoptera: Halictidae: Sphecodes),Petr Bogusch; Jakub Straka,https://doi.org/10.11646/ZOOTAXA.3311.1.1,https://www.mapress.com/zt/article/view/zootaxa.3311.1.1/22630,,online,2012-05-14,Magnolia Press,Zootaxa,1175-5334,,10.11646/ZOOTAXA.3311.1.1,Q97573968,3311,1,,,en,,key,Sphecodes,,"Europe, Central",TRUE,species,,,,,,,,,,,,
B7,Fotodeterminatie van Motmuggen: Familie Psychodidae,Weia Reinboud,,http://www.at-a-lanta.nl/weia/files/motmuggentabel.pdf,,online,2020-05-05,,,,,,,,,,11,nl-NL,,reference,Psychodidae,,"Europe, Netherlands; Europe, Belgium",FALSE,species,,,,,,,,,,,,
B8,"Langpootmuggen en aanverwante families van Nederland, Belgie en Luxemburg",K Peeters; P Oosterbroek,"https://ccw.naturalis.nl/litresults.php?title=Langpootmuggen%20en%20aanverwante%20families%20van%20Nederland,%20Belgie%20en%20Luxemburg",,,online,,Naturalis,Catalogue of the Craneflies of the World,,,,,,,,,nl-NL,,key,Tipuloidea; Trichoceridae; Ptychopteridae,,"Europe, Benelux",FALSE,species,,,,,,,,,,,,
B9,Roofvliegen van Nederland en België inclusief Denemarken en de Britse Eilanden (Diptera – Asilidae),Reinoud van den Broek; André Schulten,,https://waarneming.nl/download/fotogidsAsilidae.pdf,http://web.archive.org/web/20210318132219/https://waarneming.nl/download/fotogidsAsilidae.pdf,online,,,,,,,,,,98,,nl-NL,,key,Asilidae,,"Europe, Netherlands; Europe, Belgium; Europe, Denmark; Europe, UK",TRUE,species,,,,,,,,,,,,
B10,Fotogids ZWEEFVLIEGEN (Diptera-Syrphidae),André Schulten,,https://waarneming.nl/download/fotogids_Syrphidae.pdf,http://web.archive.org/web/20210515233546/https://waarneming.nl/download/fotogids_Syrphidae.pdf,online,2014-02-01,,Leuke Vliegen,,,,Q106849908,,,59,,nl-NL,,key; reference,Syrphidae,,"Europe, Netherlands",FALSE,genus; species,,,,,,,,,,,,
