scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B179:1:1,Histeroidea,,,,,,superfamily,,B179:1,accepted,,,,,,,,,,,,,,58H,
B179:1:2,Sphaeritidae,,,,,,family,,B179:1,accepted,,,B179:1:1,Histeroidea,,,,,Sphaeritidae,,,,Histeroidea,GG6,7852
B179:1:3,Sphaerites Duftschmidt,Duftschmidt,,,,,genus,,B179:1,accepted,,,B179:1:2,Sphaeritidae,,,,,Sphaeritidae,,Sphaerites,,Histeroidea | Sphaeritidae,7KF8,1045029
B179:1:4,Sphaerites glabratus (Fabricius),(Fabricius),Sphaerites,,glabratus,,species,,B179:1,accepted,,,B179:1:3,Sphaerites Duftschmidt,,,,,Sphaeritidae,,Sphaerites,,Histeroidea | Sphaeritidae | Sphaerites,,1045031
B179:1:5,Histeridae,,,,,,family,,B179:1,accepted,,,B179:1:1,Histeroidea,,,,,Histeridae,,,,Histeroidea,B44,4733
B179:1:6,Plegaderus Erichson,Erichson,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Plegaderus,,Histeroidea | Histeridae,6SDQ,1044747
B179:1:7,Plegaderus dissectus Erichson,Erichson,Plegaderus,,dissectus,,species,,B179:1,accepted,,,B179:1:6,Plegaderus Erichson,,,,,Histeridae,,Plegaderus,,Histeroidea | Histeridae | Plegaderus,7WJRZ,4433572
B179:1:8,Onthophilus Leach,Leach,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Onthophilus,,Histeroidea | Histeridae,68DR,1044602
B179:1:9,Onthophilus sulcatus (Fabricius),(Fabricius),Onthophilus,,sulcatus,,species,,B179:1,accepted,,,B179:1:8,Onthophilus Leach,,,,,Histeridae,,Onthophilus,,Histeroidea | Histeridae | Onthophilus,,11278206
B179:1:10,Onthophilus striatus (Forster),(Forster),Onthophilus,,striatus,,species,,B179:1,accepted,,,B179:1:8,Onthophilus Leach,,,,,Histeridae,,Onthophilus,,Histeroidea | Histeridae | Onthophilus,49QDL,5745012
B179:1:11,Hetaerius Erichson,Erichson,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Hetaerius,,Histeroidea | Histeridae,636RT,1044779
B179:1:12,Hetaerius ferrugineus (Olivier),(Olivier),Hetaerius,,ferrugineus,,species,,B179:1,accepted,,,B179:1:11,Hetaerius Erichson,,,,,Histeridae,,Hetaerius,,Histeroidea | Histeridae | Hetaerius,3L6KQ,5995564
B179:1:13,Peranus Lewis,Lewis,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Peranus,,Histeroidea | Histeridae,,4433437
B179:1:14,Peranus bimaculatus (Linneaus),(Linneaus),Peranus,,bimaculatus,,species,,B179:1,accepted,,,B179:1:13,Peranus Lewis,,,,,Histeridae,,Peranus,,Histeroidea | Histeridae | Peranus,,11272188
B179:1:15,Peranus bimaculatus L.,L.,Peranus,,bimaculatus,,species,,B179:1,synonym,B179:1:14,Peranus bimaculatus (Linneaus),,,,,,,Histeridae,,Peranus,,Histeroidea | Histeridae | Peranus,,11272188
B179:1:16,Margarinotus Marseul,Marseul,,,,,genus,,B179:1,accepted,,,B179:1:5,Histeridae,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae,8NNY4,1044963
B179:1:17,Margarinotus merdardius (J. J. Hoffmann),(J. J. Hoffmann),Margarinotus,,merdardius,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,7VS55,4433386
B179:1:18,Margarinotus striola (Sahlberg),(Sahlberg),Margarinotus,,striola,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,7VS5G,4433400
B179:1:19,Margarinotus cadaverinus (J. J. Hoffmann),(J. J. Hoffmann),Margarinotus,,cadaverinus,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,,11308614
B179:1:20,Margarinotus stercocarius (J. J. Hoffmann),(J. J. Hoffmann),Margarinotus,,stercocarius,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,,11357308
B179:1:21,Margarinotus purpurascens (Herbst),(Herbst),Margarinotus,,purpurascens,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,7VS2W,1044984
B179:1:22,Margarinotus marginatus (Erichson),(Erichson),Margarinotus,,marginatus,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,7VS3H,4433413
B179:1:23,Margarinotus neglectus (Germar),(Germar),Margarinotus,,neglectus,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,7VS2L,4433355
B179:1:24,Margarinotus carbonarius (Illiger),(Illiger),Margarinotus,,carbonarius,,species,,B179:1,accepted,,,B179:1:16,Margarinotus Marseul,,,,,Histeridae,,Margarinotus,,Histeroidea | Histeridae | Margarinotus,7VRZV,4433367
