scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,dynamicProperties,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2273:1:1,"Pternistria Stål, 1873","Stål, 1873",,,,,genus,,B2273:1,accepted,,,,,,,,,,,Pternistria,,,"Pternistria Stål, 1873",,8NYCB,11096356,8NYCB,11096356
B2273:1:2,"Mycillus Dist., 1888","Dist., 1888",,,,,genus,,B2273:1,synonym,B2273:1:1,"Pternistria Stål, 1873",,,,,,,,,Mycillus,,,"Mycillus Dist., 1888",,8PQ7P,4388877,8NYCB,11096356
B2273:1:3,Pternistria falcata,,Pternistria,,falcata,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,falcata sp. n.,,4PV7D,4388881,4PV7D,4388881
B2273:1:4,Pternistria umbilicalis,,Pternistria,,umbilicalis,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,umbilicalis sp. n.,,4PV7V,4388870,4PV7V,4388870
B2273:1:5,Pternistria juvenca,,Pternistria,,juvenca,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,juvenca sp. n.,,4PV7H,4388891,4PV7H,4388891
B2273:1:6,Pternistria insons,,Pternistria,,insons,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,insons sp. n.,,4PV7F,4388890,4PV7F,4388890
B2273:1:7,Pternistria sobrina,,Pternistria,,sobrina,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,sobrina sp. n.,,4PV7T,4388885,4PV7T,4388885
B2273:1:8,"Pternistria femoralis Dist., 1911","Dist., 1911",Pternistria,,femoralis,,species,,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,"femoralis Dist., 1911",,78KXK,4388873,78KXK,4388873
B2273:1:9,Pternistria femoralis var. simplex,,Pternistria,,femoralis,simplex,variety,,B2273:1,accepted,,,B2273:1:8,"Pternistria femoralis Dist., 1911",,,,,,,Pternistria,,Pternistria | Pternistria femoralis,femoralis var. simplex,,,,,
B2273:1:10,Pternistria nigriventris,,Pternistria,,nigriventris,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,nigriventris sp. n.,,4PV7M,4388892,4PV7M,4388892
B2273:1:11,Pternistria alacris,,Pternistria,,alacris,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,alacris sp. n.,,4PV77,4388888,4PV77,4388888
B2273:1:12,Pternistria levipes,,Pternistria,,levipes,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,levipes sp. n.,,4PV7J,4388883,4PV7J,4388883
B2273:1:13,Pternistria commutata,,Pternistria,,commutata,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,commutata sp. n.,,4PV7B,4388889,4PV7B,4388889
B2273:1:14,"Pternistria macromera (Guér., 1838)","(Guér., 1838)",Pternistria,,macromera,,species,,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,"macromera (Guér., 1838)",,4PV7K,4388879,4PV7K,4388879
B2273:1:15,"Anisoscelis macromerus Guér., 1838","Guér., 1838",Anisoscelis,,macromerus,,species,,B2273:1,synonym,B2273:1:14,"Pternistria macromera (Guér., 1838)",,,,,,,,,Pternistria,,Pternistria,"Anisoscelis macromerus Guér., 1838",,5V4T6,7438998,4PV7K,4388879
B2273:1:16,Pternistria moerens,,Pternistria,,moerens,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,moerens sp. n.,,4PV7L,4388874,4PV7L,4388874
B2273:1:17,"Pternistria insularis (Walk., 1871)","(Walk., 1871)",Pternistria,,insularis,,species,,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,"insularis (Walk., 1871)",,8PCBL,4388882,8PCBL,4388882
B2273:1:18,"Mictis insularis Walk., 1871","Walk., 1871",Mictis,,insularis,,species,,B2273:1,synonym,B2273:1:17,"Pternistria insularis (Walk., 1871)",,,,,,,,,Pternistria,,Pternistria,"Mictis insularis Walk., 1871",,73JCW,8063098,8PCBL,4388882
B2273:1:19,Pternistria insularis var. pulla,,Pternistria,,insularis,pulla,variety,,B2273:1,accepted,,,B2273:1:17,"Pternistria insularis (Walk., 1871)",,,,,,,Pternistria,,Pternistria | Pternistria insularis,insularis var. pulla,,L2MKT,,L2MKT,
B2273:1:20,"Pternistria explicata (Dist., 1888)","(Dist., 1888)",Pternistria,,explicata,,species,,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,"explicata (Dist., 1888)",,4PV7C,4388871,4PV7C,4388871
B2273:1:21,"Mycillus explicatus Dist., 1888","Dist., 1888",Mycillus,,explicatus,,species,,B2273:1,synonym,B2273:1:20,"Pternistria explicata (Dist., 1888)",,,,,,,,,Pternistria,,Pternistria,"Mycillus explicatus Dist., 1888",,44VYK,8310654,4PV7C,4388871
B2273:1:22,"Pternistria bispina Stål, 1873","Stål, 1873",Pternistria,,bispina,,species,,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,"bispina Stål, 1873",,4PV78,4388886,4PV78,4388886
B2273:1:23,Pternistria sexlineata,,Pternistria,,sexlineata,,species,sp. n.,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,sexlineata sp. n.,,4PV7S,4388869,4PV7S,4388869
B2273:1:24,"Pternistria octolineata (Walk., 1871)","(Walk., 1871)",Pternistria,,octolineata,,species,,B2273:1,accepted,,,B2273:1:1,"Pternistria Stål, 1873",,,,,,,Pternistria,,Pternistria,"octolineata (Walk., 1871)",,8PCBP,4388875,8PCBP,4388875
B2273:1:25,"Melucha octolineata Walk., 1871","Walk., 1871",Melucha,,octolineata,,species,,B2273:1,synonym,B2273:1:24,"Pternistria octolineata (Walk., 1871)",,,,,,,,,Pternistria,,Pternistria,"Melucha octolineata Walk., 1871",,72XXF,7399820,8PCBP,4388875
B2273:1:26,Pternistria octolineata var. congrex,,Pternistria,,octolineata,congrex,variety,,B2273:1,accepted,,,B2273:1:24,"Pternistria octolineata (Walk., 1871)",,,,,,,Pternistria,,Pternistria | Pternistria octolineata,octolineata var. congrex,,,,,
