scientificNameID,scientificName,scientificNameAuthorship,genericName,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B2278:1:1,Lapposyrphus,,,,,,genus,,B2278:1,accepted,,,,,,,,,,,Lapposyrphus,,,Lapposyrphus,BYVXH,4792856,BYVXH,4792856
B2278:1:2,Lapposyrphus aberrantis,,Lapposyrphus,,aberrantis,,species,,B2278:1,accepted,,,B2278:1:1,Lapposyrphus,,,,,,,Lapposyrphus,,Lapposyrphus,aberrantis,9HZGH,12034280,9HZGH,12034280
B2278:1:3,Lapposyrphus lapponicus,,Lapposyrphus,,lapponicus,,species,,B2278:1,accepted,,,B2278:1:1,Lapposyrphus,,,,,,,Lapposyrphus,,Lapposyrphus,lapponicus,9HJDB,8183385,9HJDB,8183385
B2278:1:4,Scaeva,,,,,,genus,,B2278:1,accepted,,,,,,,,,,,Scaeva,,,Scaeva,BYPVS,1537685,BYPVS,1537685
B2278:1:5,Scaeva,,Scaeva,,,,subgenus,,B2278:1,accepted,,,B2278:1:4,Scaeva,,,,,,,Scaeva,Scaeva,Scaeva,Scaeva,BYPVS,,BYPVS,
B2278:1:6,Scaeva affinis,,Scaeva,Scaeva,affinis,,species,,B2278:1,accepted,,,B2278:1:5,Scaeva,,,,,,,Scaeva,Scaeva,Scaeva | Scaeva,affinis,6XSDX,1537723,6XSDX,1537723
B2278:1:7,Scaeva pyrastri,,Scaeva,Scaeva,pyrastri,,species,,B2278:1,accepted,,,B2278:1:5,Scaeva,,,,,,,Scaeva,Scaeva,Scaeva | Scaeva,pyrastri,79SHC,1537719,79SHC,1537719
B2278:1:8,Semiscaeva,,Scaeva,,,,subgenus,,B2278:1,accepted,,,B2278:1:4,Scaeva,,,,,,,Scaeva,Semiscaeva,Scaeva,Semiscaeva,BYZTR,,BYZTR,
B2278:1:9,Scaeva albomaculata,,Scaeva,Semiscaeva,albomaculata,,species,,B2278:1,accepted,,,B2278:1:8,Semiscaeva,,,,,,,Scaeva,Semiscaeva,Scaeva | Semiscaeva,albomaculata,6Y4DX,1537703,6Y4DX,1537703
B2278:1:10,Scaeva caucasica,,Scaeva,Semiscaeva,caucasica,,species,,B2278:1,accepted,,,B2278:1:8,Semiscaeva,,,,,,,Scaeva,Semiscaeva,Scaeva | Semiscaeva,caucasica,6XSF2,1537686,6XSF2,1537686
