scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,verbatimIdentification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B289:1:1,Abra alba,,Abra,,alba,,species,,B289:1,accepted,,,,,,,,,,,Abra,,,Abra alba,8LF6,5189061,8LF6,5189061
B289:1:2,Abra longicallus,,Abra,,longicallus,,species,,B289:1,accepted,,,,,,,,,,,Abra,,,Abra longicallus,8TMM9,5729090,8TMM9,5729090
B289:1:3,Abra nitida,,Abra,,nitida,,species,,B289:1,accepted,,,,,,,,,,,Abra,,,Abra nitida,8LGB,5189057,8LGB,5189057
B289:1:4,Abra prismatica,,Abra,,prismatica,,species,,B289:1,accepted,,,,,,,,,,,Abra,,,Abra prismatica,8LGM,5189053,8LGM,5189053
B289:1:5,Acanthocardia echinata,,Acanthocardia,,echinata,,species,,B289:1,accepted,,,,,,,,,,,Acanthocardia,,,Acanthocardia echinata,64D63,2286523,64D63,2286523
B289:1:6,Acesta excavata,,Acesta,,excavata,,species,,B289:1,accepted,,,,,,,,,,,Acesta,,,Acesta excavata,9576,5189501,9576,5189501
B289:1:7,Adontorhina similis,,Adontorhina,,similis,,species,,B289:1,accepted,,,,,,,,,,,Adontorhina,,,Adontorhina similis,654C5,4371525,654C5,4371525
B289:1:8,Aequipecten opercularis,,Aequipecten,,opercularis,,species,,B289:1,accepted,,,,,,,,,,,Aequipecten,,,Aequipecten opercularis,64YTF,2285838,64YTF,2285838
B289:1:9,Arca tetragona,,Arca,,tetragona,,species,,B289:1,accepted,,,,,,,,,,,Arca,,,Arca tetragona,8S2QK,2286217,8S4K3,7521303
B289:1:10,Arcopagia crassa,,Arcopagia,,crassa,,species,,B289:1,accepted,,,,,,,,,,,Arcopagia,,,Arcopagia crassa,68293,2286953,68293,2286953
B289:1:11,Arctica islandica,,Arctica,,islandica,,species,,B289:1,accepted,,,,,,,,,,,Arctica,,,Arctica islandica,5VRMB,5189341,5VRMB,5189341
B289:1:12,Asbjornsenia pygmaea,,Asbjornsenia,,pygmaea,,species,,B289:1,accepted,,,,,,,,,,,Asbjornsenia,,,Asbjornsenia pygmaea,H4YC,8847968,H4YC,8847968
B289:1:13,Asperarca nodulosa,,Asperarca,,nodulosa,,species,,B289:1,accepted,,,,,,,,,,,Asperarca,,,Asperarca nodulosa,HBSG,4373168,HBSG,4373168
B289:1:14,Astarte borealis,,Astarte,,borealis,,species,s.lat.,B289:1,accepted,,,,,,,,,,,Astarte,,,Astarte borealis s.lat.,HN3J,5189169,HN3J,5189169
B289:1:15,Astarte elliptica,,Astarte,,elliptica,,species,,B289:1,accepted,,,,,,,,,,,Astarte,,,Astarte elliptica,HN46,5189194,HN46,5189194
B289:1:16,Astarte montagui,,Astarte,,montagui,,species,,B289:1,accepted,,,,,,,,,,,Astarte,,,Astarte montagui,HN58,5189174,HN58,5189174
B289:1:17,Astarte sulcata,,Astarte,,sulcata,,species,,B289:1,accepted,,,,,,,,,,,Astarte,,,Astarte sulcata,HN68,11361927,HN68,11361927
B289:1:18,Axinulus croulinensis,,Axinulus,,croulinensis,,species,,B289:1,accepted,,,,,,,,,,,Axinulus,,,Axinulus croulinensis,K444,4371541,K444,4371541
B289:1:19,Azorinus chamasolen,,Azorinus,,chamasolen,,species,,B289:1,accepted,,,,,,,,,,,Azorinus,,,Azorinus chamasolen,K5VV,4371818,K5VV,4371818
B289:1:20,Barnea candida,,Barnea,,candida,,species,,B289:1,accepted,,,,,,,,,,,Barnea,,,Barnea candida,5WDT8,2288763,5WDT8,2288763
B289:1:21,Bathyarca pectunculoides,,Bathyarca,,pectunculoides,,species,,B289:1,accepted,,,,,,,,,,,Bathyarca,,,Bathyarca pectunculoides,KWHY,2286255,KWHY,2286255
B289:1:22,Cardiomya costellata,,Cardiomya,,costellata,,species,,B289:1,accepted,,,,,,,,,,,Cardiomya,,,Cardiomya costellata,R5JM,2288510,R5JM,2288510
B289:1:23,Cerastoderma edule,,Cerastoderma,,edule,,species,,B289:1,accepted,,,,,,,,,,,Cerastoderma,,,Cerastoderma edule,SKNF,2286583,SKNF,2286583
B289:1:24,Cerastoderma glaucum,,Cerastoderma,,glaucum,,species,,B289:1,accepted,,,,,,,,,,,Cerastoderma,,,Cerastoderma glaucum,SKNH,2286585,SKNH,2286585
B289:1:25,Chamelea striatula,,Chamelea,,striatula,,species,,B289:1,accepted,,,,,,,,,,,Chamelea,,,Chamelea striatula,TLM2,4372852,TLM2,4372852
B289:1:26,Clausinella fasciata,,Clausinella,,fasciata,,species,,B289:1,accepted,,,,,,,,,,,Clausinella,,,Clausinella fasciata,5Z9TR,2287689,5Z9TR,2287689
B289:1:27,Cochlodesma praetenue,,Cochlodesma,,praetenue,,species,,B289:1,accepted,,,,,,,,,,,Cochlodesma,,,Cochlodesma praetenue,WNGP,2288618,WNGP,2288618
B289:1:28,Corbula gibba,,Corbula,,gibba,,species,,B289:1,accepted,,,,,,,,,,,Corbula,,,Corbula gibba,7QTLS,2288892,7TKT5,2288891
B289:1:29,Crenella decussata,,Crenella,,decussata,,species,,B289:1,accepted,,,,,,,,,,,Crenella,,,Crenella decussata,ZCBH,2285703,ZCBH,2285703
B289:1:30,Cuspidaria cuspidata,,Cuspidaria,,cuspidata,,species,,B289:1,accepted,,,,,,,,,,,Cuspidaria,,,Cuspidaria cuspidata,32M8R,2288481,32M8R,2288481
B289:1:31,Cuspidaria lamellosa,,Cuspidaria,,lamellosa,,species,,B289:1,accepted,,,,,,,,,,,Cuspidaria,,,Cuspidaria lamellosa,9G4JY,9674819,9G4JY,9674819
B289:1:32,Cuspidaria obesa,,Cuspidaria,,obesa,,species,,B289:1,accepted,,,,,,,,,,,Cuspidaria,,,Cuspidaria obesa,32MC6,5189406,32MC6,5189406
B289:1:33,Cuspidaria rostrata,,Cuspidaria,,rostrata,,species,,B289:1,accepted,,,,,,,,,,,Cuspidaria,,,Cuspidaria rostrata,32MDH,9710292,32MDH,9710292
B289:1:34,Delectopecten vitreus,,Delectopecten,,vitreus,,species,,B289:1,accepted,,,,,,,,,,,Delectopecten,,,Delectopecten vitreus,34FRK,2285983,34FRK,2285983
B289:1:35,Devonia perrieri,,Devonia,,perrieri,,species,,B289:1,accepted,,,,,,,,,,,Devonia,,,Devonia perrieri,6CPLX,2287136,6CPLX,2287136
B289:1:36,Donax vittatus,,Donax,,vittatus,,species,,B289:1,accepted,,,,,,,,,,,Donax,,,Donax vittatus,6DDV4,5189106,6DDV4,5189106
B289:1:37,Dosinia exoleta,,Dosinia,,exoleta,,species,,B289:1,accepted,,,,,,,,,,,Dosinia,,,Dosinia exoleta,6DK9Q,2287837,6DK9Q,2287837
B289:1:38,Dosinia lupinus,,Dosinia,,lupinus,,species,,B289:1,accepted,,,,,,,,,,,Dosinia,,,Dosinia lupinus,37GCD,2287835,37GCD,2287835
B289:1:39,Ennucula tenuis,,Ennucula,,tenuis,,species,,B289:1,accepted,,,,,,,,,,,Ennucula,,,Ennucula tenuis,39W74,2285597,39W74,2285597
B289:1:40,Ensis ensis,,Ensis,,ensis,,species,,B289:1,accepted,,,,,,,,,,,Ensis,,,Ensis ensis,39X2P,2287248,39X2P,2287248
B289:1:41,Ensis leei,,Ensis,,leei,,species,,B289:1,accepted,,,,,,,,,,,Ensis,,,Ensis leei,39X2R,8485639,39X2R,8485639
B289:1:42,Ensis magnus,,Ensis,,magnus,,species,,B289:1,accepted,,,,,,,,,,,Ensis,,,Ensis magnus,6FBPD,2287256,6FBPD,2287256
B289:1:43,Ensis siliqua,,Ensis,,siliqua,,species,,B289:1,accepted,,,,,,,,,,,Ensis,,,Ensis siliqua,39X34,2287250,39X34,2287250
B289:1:44,Epilepton clarkiae,,Epilepton,,clarkiae,,species,,B289:1,accepted,,,,,,,,,,,Epilepton,,,Epilepton clarkiae,6G57L,2286489,6G57L,2286489
B289:1:45,Fabulina fabula,,Fabulina,,fabula,,species,,B289:1,accepted,,,,,,,,,,,Fabulina,,,Fabulina fabula,6HM9V,2286847,6HM9V,2286847
B289:1:46,Gari depressa,,Gari,,depressa,,species,,B289:1,accepted,,,,,,,,,,,Gari,,,Gari depressa,3FB7F,5189082,3FB7F,5189082
B289:1:47,Gari fervensis,,Gari,,fervensis,,species,,B289:1,accepted,,,,,,,,,,,Gari,,,Gari fervensis,3FB7L,5189085,3FB7L,5189085
B289:1:48,Gari tellinella,,Gari,,tellinella,,species,,B289:1,accepted,,,,,,,,,,,Gari,,,Gari tellinella,3FB99,5189088,3FB99,5189088
B289:1:49,Genaxinus eumyarius,,Genaxinus,,eumyarius,,species,,B289:1,accepted,,,,,,,,,,,Genaxinus,,,Genaxinus eumyarius,3FKJH,8306277,3FKJH,8306277
B289:1:50,Glossus humanus,,Glossus,,humanus,,species,,B289:1,accepted,,,,,,,,,,,Glossus,,,Glossus humanus,6KLGD,5729434,6KLGD,5729434
B289:1:51,Hemilepton nitidum,,Hemilepton,,nitidum,,species,,B289:1,accepted,,,,,,,,,,,Hemilepton,,,Hemilepton nitidum,3KPMQ,4371704,3KPMQ,4371704
B289:1:52,Heteranomia squamula,,Heteranomia,,squamula,,species,,B289:1,accepted,,,,,,,,,,,Heteranomia,,,Heteranomia squamula,3L7BL,2286126,3L7BL,2286126
B289:1:53,Hiatella arctica,,Hiatella,,arctica,,species,,B289:1,accepted,,,,,,,,,,,Hiatella,,,Hiatella arctica,3LHV5,5189537,3LHV5,5189537
B289:1:54,Hiatella rugosa,,Hiatella,,rugosa,,species,,B289:1,accepted,,,,,,,,,,,Hiatella,,,Hiatella rugosa,3LHVK,5728959,3LHVK,5728959
B289:1:55,Karnekampia sulcata,,Karnekampia,,sulcata,,species,,B289:1,accepted,,,,,,,,,,,Karnekampia,,,Karnekampia sulcata,3R2W4,4373861,3R2W4,4373861
