scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID
B442:1:1,Cleptes,,,,,,genus,,B442:1,accepted,,,,,,,,,,,Cleptes,,,,3242377
B442:1:2,Cleptes nitidula-group,,Cleptes,,,,group,,B442:1,accepted,,,B442:1:1,Cleptes,,,,,,,Cleptes,,Cleptes,,
B442:1:3,Cleptes afer,,Cleptes,,afer,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:4,Cleptes anceyi,,Cleptes,,anceyi,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:34,Cleptes scutellaris subsp. gurunensis,,Cleptes,,scutellaris,gurunensis,subspecies,,B442:1,synonym,B442:1:32,Cleptes scutellaris,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:6,Cleptes balsidelli,,Cleptes,,balsidelli,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:7,Cleptes canadensis,,Cleptes,,canadensis,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:8,Cleptes caucasicus,,Cleptes,,caucasicus,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:9,Cleptes hyrcanus,,Cleptes,,hyrcanus,,species,,B442:1,synonym,B442:1:8,Cleptes caucasicus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:10,Cleptes consimilis,,Cleptes,,consimilis,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:11,Cleptes chyzeri,,Cleptes,,chyzeri,,species,,B442:1,synonym,B442:1:10,Cleptes consimilis,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:12,Cleptes dauriensis,,Cleptes,,dauriensis,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:13,Cleptes doii,,Cleptes,,doii,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:14,Cleptes femoralis,,Cleptes,,femoralis,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:15,Cleptes antakyensis,,Cleptes,,antakyensis,,species,,B442:1,synonym,B442:1:14,Cleptes femoralis,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:33,Cleptes ignitus,,Cleptes,,ignitus,,species,,B442:1,synonym,B442:1:32,Cleptes scutellaris,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:17,Ichneumon ignitus,,Ichneumon,,ignitus,,species,,B442:1,synonym,B442:1:16,Cleptes ignitus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:18,Cleptes ignita,,Cleptes,,ignita,,species,,B442:1,synonym,B442:1:16,Cleptes ignitus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:19,Cleptes insidiosus,,Cleptes,,insidiosus,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:20,Cleptes insidiosa,,Cleptes,,insidiosa,,species,,B442:1,synonym,B442:1:19,Cleptes insidiosus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:21,Cleptes kusdasicus,,Cleptes,,kusdasicus,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:22,Cleptes marocccanus,,Cleptes,,marocccanus,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:23,Cleptes mayeti,,Cleptes,,mayeti,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:24,Cleptes morawitzi,,Cleptes,,morawitzi,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
B442:1:25,Cleptes muti,,Cleptes,,muti,,species,,B442:1,accepted,,,B442:1:2,Cleptes nitidula-group,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,3242377
B442:1:38,Cleptes nitidulus,,Cleptes,,nitidulus,,species,,B442:1,synonym,B442:1:36,Cleptes semicyaneus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,5YYB3,
B442:1:27,Ichneumon nitidulus,,Ichneumon,,nitidulus,,species,,B442:1,synonym,B442:1:26,Cleptes nitidulus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,3P9V8,
B442:1:28,Cleptes fallax,,Cleptes,,fallax,,species,,B442:1,synonym,B442:1:26,Cleptes nitidulus,,,,,,,,,Cleptes,,Cleptes | Cleptes nitidula-group,,
