scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B444:1:1,"Cleptes Latreille, 1802","Latreille, 1802",,,,,genus,,B444:1,accepted,,,,,,,,,,,Cleptes,,,,8802199,,8802199
B444:1:2,Cleptes semiauratus-group,,Cleptes,,,,group,,B444:1,accepted,,,B444:1:1,"Cleptes Latreille, 1802",,,,,,,Cleptes,,Cleptes,,,,
B444:1:3,Cleptes anatolensis,,Cleptes,,anatolensis,,species,sp.n.,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,,,
B444:1:4,"Cleptes cavernalis Móczár, 1968","Móczár, 1968",Cleptes,,cavernalis,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,8927586,,8927586
B444:1:5,Cleptes graecus,,Cleptes,,graecus,,species,sp. n.,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,8877945,,8877945
B444:1:6,"Cleptes jordanicus Linsenmaier, 1968","Linsenmaier, 1968",Cleptes,,jordanicus,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,11153943,,11153943
B444:1:7,"Cleptes maculatus Linsenmaier, 1968","Linsenmaier, 1968",Cleptes,,maculatus,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,9078928,,9078928
B444:1:8,"Cleptes pallipes Lepeletier, 1806","Lepeletier, 1806",Cleptes,,pallipes,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,7418917,,7418917
B444:1:9,"Cleptes diana Mocsáry, 1889","Mocsáry, 1889",Cleptes,,diana,,species,,B444:1,synonym,B444:1:8,"Cleptes pallipes Lepeletier, 1806",,,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,,,
B444:1:10,"Cleptes semiauratus var. pallipes Lepeletier, 1806","Lepeletier, 1806",Cleptes,,semiauratus,pallipes,variety,,B444:1,synonym,B444:1:8,"Cleptes pallipes Lepeletier, 1806",,,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,,,
B444:1:11,"Cleptes parnassicus Mocsáry, 1902","Mocsáry, 1902",Cleptes,,parnassicus,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,8871405,,8871405
B444:1:12,"Cleptes rufifemur Kimsey, 1981","Kimsey, 1981",Cleptes,,rufifemur,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,,,
B444:1:13,"Cleptes rufigaster Kimsey, 1981","Kimsey, 1981",Cleptes,,rufigaster,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,,,
B444:1:14,"Cleptes semiauratus (Linneaus, 1761)","(Linneaus, 1761)",Cleptes,,semiauratus,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,5869969,,5869969
B444:1:15,"Sphex semiaurata Linneaus, 1761","Linneaus, 1761",Sphex,,semiaurata,,species,,B444:1,synonym,B444:1:14,"Cleptes semiauratus (Linneaus, 1761)",,,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,9182539,,5869969
B444:1:16,"Chrysis semiaurata (Linneaus, 1761)","(Linneaus, 1761)",Chrysis,,semiaurata,,species,,B444:1,synonym,B444:1:14,"Cleptes semiauratus (Linneaus, 1761)",,,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,,,
B444:1:17,"Cleptes turceyanus Linsenmaier, 1968","Linsenmaier, 1968",Cleptes,,turceyanus,,species,,B444:1,accepted,,,B444:1:2,Cleptes semiauratus-group,,,,,,,Cleptes,,Cleptes | Cleptes semiauratus-group,,11193664,,11193664
