scientificNameID,scientificName,scientificNameAuthorship,genericName,intragenericEpithet,specificEpithet,intraspecificEpithet,taxonRank,taxonRemarks,collectionCode,taxonomicStatus,acceptedNameUsageID,acceptedNameUsage,parentNameUsageID,parentNameUsage,kingdom,phylum,class,order,family,subfamily,genus,subgenus,higherClassification,colTaxonID,gbifTaxonID,colAcceptedTaxonID,gbifAcceptedTaxonID
B55:1:1,Acrosathe,,,,,,genus,,B55:1,accepted,,,,,,,,,,,Acrosathe,,,NHX,1565129,NHX,1565129
B55:1:2,Acrosathe annulata Fabricius,Fabricius,Acrosathe,,annulata,,species,,B55:1,accepted,,,B55:1:1,Acrosathe,,,,,,,Acrosathe,,Acrosathe,9PK6,1565135,9PK6,1565135
B55:1:3,Acrosathe baltica Andersson,Andersson,Acrosathe,,baltica,,species,,B55:1,accepted,,,B55:1:1,Acrosathe,,,,,,,Acrosathe,,Acrosathe,9PK7,1565134,9PK7,1565134
B55:1:4,Cliorismia,,,,,,genus,,B55:1,accepted,,,,,,,,,,,Cliorisma,,,3R3P,1565918,3R3P,1565918
B55:1:5,Cliorismia rustica Panzer,Panzer,Cliorismia,,rustica,,species,,B55:1,accepted,,,B55:1:4,Cliorismia,,,,,,,Cliorisma,,Cliorismia,5YZGS,1565923,5YZGS,1565923
B55:1:6,Cliorismia ardea Fabricius,Fabricius,Cliorismia,,ardea,,species,,B55:1,accepted,,,B55:1:4,Cliorismia,,,,,,,Cliorisma,,Cliorismia,W7N5,1565920,W7N5,1565920
B55:1:7,Dialineura,,,,,,genus,,B55:1,accepted,,,,,,,,,,,Dialineura,,,4457,1566310,4457,1566310
B55:1:8,Dialineura anilis Linnaeus,Linnaeus,Dialineura,,anilis,,species,,B55:1,accepted,,,B55:1:7,Dialineura,,,,,,,Dialineura,,Dialineura,358XG,1566323,358XG,1566323
B55:1:9,Dichoglena,,,,,,genus,,B55:1,accepted,,,,,,,,,,,Dichoglena,,,44MH,1565730,44MH,1565730
B55:1:10,"Dichoglena nigripennis (Ruthe, 1831)","(Ruthe, 1831)",Dichoglena,,nigripennis,,species,,B55:1,accepted,,,B55:1:9,Dichoglena,,,,,,,Dichoglena,,Dichoglena,35M5Y,1565735,35M5Y,1565735
B55:1:11,Pandivirilia,,,,,,genus,,B55:1,accepted,,,,,,,,,,,Pandivirilia,,,6D6L,1566204,6D6L,1566204
B55:1:12,Pandivirilia caesia Meigen,Meigen,Pandivirilia,,caesia,,species,,B55:1,accepted,,,B55:1:11,Pandivirilia,,,,,,,Pandivirilia,,Pandivirilia,75KTX,1566231,75KTX,1566231
B55:1:13,Pandivirilia eximia Meigen,Meigen,Pandivirilia,,eximia,,species,,B55:1,accepted,,,B55:1:11,Pandivirilia,,,,,,,Pandivirilia,,Pandivirilia,6TKTY,1566206,6TKTY,1566206
B55:1:14,Pandivirilia melaleuca Loew,Loew,Pandivirilia,,melaleuca,,species,,B55:1,accepted,,,B55:1:11,Pandivirilia,,,,,,,Pandivirilia,,Pandivirilia,6TKTZ,1566208,6TKTZ,1566208
B55:1:15,Psilocephala,,,,,,genus,,B55:1,accepted,,,,,,,,,,,Psilocephala,,,747M,1565099,747M,1565099
