id,checklist_id,problem
B23,B23:1,"missing genus"
B36,B36:1,"some missing in GBIF"
B74,B74:1,"Wrong classification in GBIF"
B78,B78:1,"not yet in GBIF"
B141,B141:1,"TODO Gnaphosidae bug in GBIF"
B144,B144:1,"TODO Diplura bug in GBIF"
B160,B160:1,"not found in GBIF"
B163,B163:1,"Phloeomyzidae not in GBIF"
B163,B163:8,"Myzocallis species not in GBIF?"
B163,B163:18,"Kallistaphis sp. not in GBIF?"
B164,B164:1,"Spondyliaspidae not in GBIF"
B169,B169:1,"families missing in GBIF; TODO coleoptera wrong"
B186,B186:1,"old, invalid genus?"
B187,B187:3,"TODO Tetratoma suddenly not found"
B187,B187:15,"TODO"
B188,B188:1,"TODO genera suddenly missing"
B206,B206:1,"TODO genus suddenly missing"
B209,B209:1,"TODO Cleptes missing"
B216,B216:2,"TODO wrong genera suddenly"
B221,B221:1,"old family"
B221,B221:6,"old family"
B226,B226:1,"Old families"
B228,B228:1,"Lot of synonyms missing in GBIF"
B229,B229:2,"Missing synonyms"
B229,B229:7,"missing synonyms"
B229,B229:8,"missing synonyms"
B237,B237:1,"TODO GBIF/GN"
B241,B241:2,Tachinidae problems in GBIF
B242,B242:1,"TODO"
B245,B245:2,"TODO"
B246,B246:1,Tachinidae problems in GBIF
B246,B246:3,"TODO"
B253,B253:1,"Diastidae missing, wrong Periscelididae"
B273,B273:1,"TODO"
B311,B311:1,"TODO"
B312,B312:1,GBIF mismatches
B313,B313:1,TODO
B314,B314:1,"TODO"
B318,B318:1,"TODO"
B319,B319:1,"TODO"
B376,B376:1,"TODO"
B380,B380:2,"TODO"
B383,B383:1,"TODO"
B384,B384:1,"TODO"
B419,B419:1,"old family"
B424,B424:2,"TODO GBIF error"
B433,B433:1,Cleptes mismatch in GBIF
B442,B442:1,"TODO"
B443,B443:1,"TODO"
B444,B444:1,"TODO"
B448,B448:1,"Cleptidae missing in GBIF"
B475,B475:1,"Additional Coccinella in GBIF"
B476,B476:1,"Additional Coccinella in GBIF"
B477,B477:1,"Metaxypleona missing from GBIF; Entomobrya incorrect?"
B478,B478:1,"not in GBIF?"
B491,B491:1,Aphaenogaster missing in GBIF?
B501,B501:1,"Not a plant."
B502,B502:1,"TODO"
B516,B516:1,"wrong match"
B516,B516:2,"not in GBIF"
B749,B749:1,"TODO"
B797,B797:1,"Outdated genus 'Necrophlaeophagus' not in GBIF"
B910,B910:1,"Coleoptera conflicting with Malvaceae"
B1006,B1006:1,"TODO"
B1169,B1169:1,"Not in GBIF"
B43,B43:1,Mismatch in GBIF
B133,B133:1,Mismatch in GBIF
B161,B161:2,Mismatch in GBIF
B489,B489:1,Mismatch in GBIF
B427,B427:6,"TODO, weird taxonomy"
B1376,B1376:1,Species not in GBIF
B1376,B1376:2,Species not in GBIF
B892,B892:1,Wrong Dalmannia found
B1,B1:1,Species not on GBIF
B9,B9:1,Synonym not in GBIF
B16,B16:1,TODO
B29,B29:1,TODO
B33,B33:1,TODO
B35,B35:1,TODO
B38,B38:1,TODO
B40,B40:1,TODO
B47,B47:1,TODO
B64,B64:1,TODO
B67,B67:1,TODO
B87,B87:1,TODO
B91,B91:1,TODO
B129,B129:1,TODO
B145,B145:1,TODO
B154,B154:1,TODO
B156,B156:1,TODO
B159,B159:2,TODO
B162,B162:1,TODO
B163,B163:25,TODO
B171,B171:1,TODO
B173,B173:1,TODO
B177,B177:1,TODO
B178,B178:1,TODO
B187,B187:9,TODO
B192,B192:1,TODO
B201,B201:1,TODO
B203,B203:1,TODO
B204,B204:1,TODO
B205,B205:1,TODO
B207,B207:1,TODO
B211,B211:1,TODO
B212,B212:11,TODO
B213,B213:1,TODO
B218,B218:2,TODO
B218,B218:4,TODO
B223,B223:2,TODO
B224,B224:2,TODO
B229,B229:4,TODO
B230,B230:1,TODO
B232,B232:1,TODO
B233,B233:1,TODO
B234,B234:2,TODO
B239,B239:1,TODO
B240,B240:1,TODO
B246,B246:7,TODO
B246,B246:9,TODO
B249,B249:1,TODO
B288,B288:1,todo
B337,B337:1,TODO
B347,B347:1,TODO
B348,B348:1,TODO
B357,B357:1,TODO
B421,B421:1,TODO
B427,B427:2,TODO
B427,B427:3,TODO
B427,B427:5,TODO
B427,B427:7,TODO
B441,B441:1,TODO
B445,B445:1,TODO
B449,B449:1,TODO
B450,B450:1,TODO
B461,B461:1,TODO
B461,B461:2,TODO
B465,B465:1,TODO
B467,B467:1,TODO
B468,B468:1,TODO
B469,B469:1,TODO
B472,B472:1,TODO
B514,B514:1,TODO
B519,B519:1,TODO
B520,B520:1,TODO
B522,B522:1,TODO
B523,B523:1,TODO
B524,B524:1,TODO
B529,B529:1,TODO
B531,B531:1,TODO
B535,B535:1,TODO
B536,B536:1,TODO
B537,B537:1,TODO
B538,B538:1,TODO
B540,B540:1,TODO
B544,B544:1,TODO
B546,B546:1,TODO
B548,B548:1,TODO
B554,B554:1,TODO
B559,B559:1,TODO
B578,B578:1,TODO
B587,B587:1,TODO
B588,B588:1,TODO
B590,B590:1,TODO
B656,B656:1,TODO
B852,B852:1,TODO
B855,B855:2,TODO
B855,B855:5,TODO
B909,B909:1,TODO
B919,B919:1,TODO
B926,B926:1,TODO
B989,B989:1,TODO
B1004,B1004:1,TODO
B1311,B1311:1,TODO
B1312,B1312:1,TODO
B1313,B1313:1,TODO
B1317,B1317:1,TODO
B1442,B1442:1,TODO
B1443,B1443:1,TODO
B571,B571:3,Implicit subspecies gone
B1378,B1378:2,species not in GBIF
B1378,B1378:3,species not in GBIF
B1378,B1378:4,species not in GBIF
B657,B657:1,Missed by gnverifier?
B657,B657:2,Missed by gnverifier?
B1497,B1497:1,Too new for GBIF
B1498,B1498:1,variety not included
B1502,B1502:1,classes missing
B1503,B1503:1,classes missing
B1517,B1517:1,classes missing
B1518,B1518:1,classes missing
B1538,B1538:1,not in GBIF
B1539,B1539:1,not in GBIF
B1544,B1544:1,Not in GBIF
B1547,B1547:1,Not in GBIF (under this name)
B1549,B1549:1,Heuristic for prefix broken
B1624,B1624:3,Not in GBIF
B1624,B1624:4,Not in GBIF
B1626,B1626:1,New species
B1626,B1626:2,New species
B1626,B1626:3,New species
B1626,B1626:4,New species
B1625,B1625:2,New definitions
B593,B593:1,Obscure species
B1563,B1563:1,Not in GBIF?
B1566,B1566:1,hybrids
B1633,B1633:1,Outdated names
