name,id,qid,rank,gbif,children_gbif,ancestors_gbif,duplicate_of
Acalyptratae,T1,Q637961,parvorder,,3329; 3332; 3336; 3337; 3339; 3341; 3344; 3349; 3520; 3521; 3523; 3524; 5547; 5548; 5549; 5551; 5552; 5555; 5561; 5562; 5563; 5567; 5568; 5570; 5571; 5572; 5573; 5575; 5576; 5582; 6161; 6183; 6912; 6915; 6921; 6922; 6924; 6926; 7270; 7272; 7276; 7279; 7286; 7287; 7289; 7290; 7291; 7299; 7301; 7302; 7303; 9488; 9492; 9493; 9495; 9496; 9504; 9507; 9629; 9630; 3249062; 4517697; 4792957; 6099959; 6100043; 6100044; 10718235; 11188984; 11441876,1; 54; 216; 811,
Acanthocephala,T2,Q178235,phylum,67,,1,
Acanthopterygii,T3,Q660475,superclass,,496; 498; 499; 547; 550; 587; 588; 590; 772; 773; 888; 890; 1067; 1106; 1107; 1163; 1305; 1308; 4285929; 4840985; 4840997; 8003662; 8642991; 9242872; 9286080; 9286091; 9327734; 9357477; 9364906; 9374541; 9402076; 9409575; 9429989; 9475471; 9483154; 9500074; 9550003; 9557735; 9578675; 9596392; 9604323; 9611417; 9850043; 10057936; 10808688; 11138685; 11162325; 11162581; 11168226; 11182224,1; 44,
Acanthosomatidae,T4,Q2301203,family,4303,,1; 54; 216; 809,
Acaulon,T5,Q13569726,genus,2671824,,6; 35; 327; 621; 4671,
Accipitriformes,T6,Q21736,order,7191147,,1; 44; 212,
Acentropinae,T7,Q149469,subfamily,,1878610; 9579811,1; 54; 216; 797; 8841,
Aciculata,T8,Q2823177,subclass,,865; 1982; 6278; 9572680,1; 42; 256,
Acridinae,T9,Q481974,subfamily,,1122355; 1711700; 3259752,1; 54; 216; 1458; 9394,
Acridomorpha,T10,Q124481994,,,3041; 5517; 5518; 5519; 5520; 7253; 7254; 7255; 9394; 9449; 4403599; 4711536,1; 54; 216; 1458,
Acroceridae,T11,Q1031499,family,3328,,1; 54; 216; 811,
Actinopterygii,T12,Q127282,class,204,,1; 44,
Acuarioidea,T13,Q19969070,superfamily,,2721,1; 5967481; 11133537; 440,
Aculeata,T14,Q1251421,infraorder,,4342; 4298200; 4679259,1; 54; 216; 1457,
Adelidae,T15,Q927746,family,4538,,1; 54; 216; 797,
Aderidae,T16,Q547092,family,1047172,,1; 54; 216; 1470,
Aelia,T17,Q2825531,genus,2079121,,1; 54; 216; 809; 9650,
Aepophilidae,T1293,Q18642878,family,6099848,,1; 54; 216; 809,
Agaontidae,T18,Q995960,family,9438,,1; 54; 216; 1457,
Agnatha,T19,Q161095,superclass,,119; 4815515; 4823788; 4841357; 11881065,1; 44,
Agrilus,T20,Q292034,genus,1049531,,1; 54; 216; 1470; 3789,
Agriotypinae,T21,Q4033589,subfamily,,1295985; 4574745,1; 54; 216; 1457; 3512,
Agromyza,T22,Q4276134,genus,1554804,,1; 54; 216; 811; 3329,
Agromyzidae,T23,Q1422663,family,3329,,1; 54; 216; 811,
Alastor,T24,Q4033666,genus,1328335,,1; 54; 216; 1457; 4240,
Alcidae,T25,Q28294,family,2985,,1; 44; 212; 7192402,
Alleculidae,T26,Q524322,family,4724248,,1; 54; 216; 1470; 7857,
Alligatoridae,T27,Q6184764,family,3238603,,1; 44; 11493978,
Allodynerus,T28,Q4033781,genus,1332452,,1; 54; 216; 1457; 4240,
Alomyinae,T29,Q47787928,subfamily,,1276462; 1282723,1; 54; 216; 1457; 3512,
