id,checklist_id,problem
B1,B1:1,GBIF missing new (and older) taxa
B2,B2:1,"Problems with GBIF data (Chrysis no author, Ch. borealis not in yet)"
B7,B7:1,GNVerifier problem
B9,B9:1,Machimus micans missing
B10,B10:1,GNVerifier problem
B16,B16:1,"Taxon names are misapplied, cannot be easily corrected"
B19,B19:1,Only subfamilies
B23,B23:1,"Rophitoides, Rophitoides canus"
B35,B35:1,GN: Scymnus apetzi; GBIF: Chilocorus baileyi
B36,B36:1,Mostly new taxa
B37,B37:1,Correct (short) prefix
B40,B40:1,Basionyms not in GBIF
B43,B43:1,Problems with GNVerifier
B47,B47:1,GNVerifier problem with Zodion nigritarsis
B56,B56:1,GN: Phthiria pulicaria
B64,B64:1,Bibio venosus
B67,B67:1,"Bombus konradini Reinig, 1965"
B72,B72:1,Not in GBIF?
B74,B74:1,GN: Microcanthidae
B78,B78:1,GN problems
B85,B85:1,Swammerdamella spinigera not in GBIF
B87,B87:1,Various not in GBIF; some not in GN
B126,B126:1,Bibio venosus
B138,B138:1,GN Sehirus biguttatus
B144,B144:1,Thysanura is completely gone
B145,B145:1,Missing from GN
B141,B141:1,"GNames error, cannot be avoided"
B153,B153:1,Synonym not in GBIF
B156,B156:1,"GN not finding order, many weird name combinations"
B159,B159:1,All matches fine
B159,B159:2,Subspecies synonym missing in GBIF
